Home Team,Away Team,,,,,
Southampton,Newcastle,,,,,
Wolves,Arsenal,,,,,
Man City,Chelsea,,,,,
Crystal Palace,Brentford,,,,,
Spurs,Leicester,,,,,
Aston Villa,West Ham,,,,,
Fulham,Man Utd,,,,,
Arsenal,Man City,,,,,
Bournemouth,Liverpool,,,,,
Brentford,Spurs,,,,,
Chelsea,West Ham,,,,,
Everton,Leicester,,,,,
Ipswich,Southampton,,,,,
Man Utd,Crystal Palace,,,,,
Newcastle,Fulham,,,,,
Nott'm Forest,Brighton,,,,,
Wolves,Aston Villa,,,,,
Aston Villa,Ipswich,,,,,
Brighton,Chelsea,,,,,
Crystal Palace,Everton,,,,,
Fulham,Nott'm Forest,,,,,
Leicester,Arsenal,,,,,
Liverpool,Wolves,,,,,
Man City,Newcastle,,,,,
Southampton,Bournemouth,,,,,
Spurs,Man Utd,,,,,
West Ham,Brentford,,,,,
Arsenal,West Ham,,,,,
Aston Villa,Chelsea,,,,,
Bournemouth,Wolves,,,,,
Everton,Man Utd,,,,,
Fulham,Crystal Palace,,,,,
Ipswich,Spurs,,,,,
Leicester,Brentford,,,,,
Man City,Liverpool,,,,,
Newcastle,Nott'm Forest,,,,,
Southampton,Brighton,,,,,
Brentford,Everton,,,,,
Brighton,Bournemouth,,,,,
Nott'm Forest,Arsenal,,,,,
Spurs,Man City,,,,,
West Ham,Leicester,,,,,
Wolves,Fulham,,,,,
Crystal Palace,Aston Villa,,,,,
Chelsea,Southampton,,,,,
Liverpool,Newcastle,,,,,
Man Utd,Ipswich,,,,,
Brentford,Aston Villa,,,,,
Brighton,Fulham,,,,,
Chelsea,Leicester,,,,,
Crystal Palace,Ipswich,,,,,
Liverpool,Southampton,,,,,
Man Utd,Arsenal,,,,,
Nott'm Forest,Man City,,,,,
Spurs,Bournemouth,,,,,
West Ham,Newcastle,,,,,
Wolves,Everton,,,,,
Arsenal,Chelsea,,,,,
Aston Villa,Liverpool,,,,,
Bournemouth,Brentford,,,,,
Everton,West Ham,,,,,
Fulham,Spurs,,,,,
Ipswich,Nott'm Forest,,,,,
Leicester,Man Utd,,,,,
Man City,Brighton,,,,,
Newcastle,Crystal Palace,,,,,
Southampton,Wolves,,,,,
Arsenal,Fulham,,,,,
Bournemouth,Ipswich,,,,,
Brighton,Aston Villa,,,,,
Nott'm Forest,Man Utd,,,,,
Wolves,West Ham,,,,,
Chelsea,Spurs,,,,,
Man City,Leicester,,,,,
Newcastle,Brentford,,,,,
Southampton,Crystal Palace,,,,,
Liverpool,Everton,,,,,
Aston Villa,Nott'm Forest,,,,,
Brentford,Chelsea,,,,,
Crystal Palace,Brighton,,,,,
Everton,Arsenal,,,,,
Fulham,Liverpool,,,,,
Ipswich,Wolves,,,,,
Leicester,Newcastle,,,,,
Man Utd,Man City,,,,,
Spurs,Southampton,,,,,
West Ham,Bournemouth,,,,,
Arsenal,Brentford,,,,,
Bournemouth,Fulham,,,,,
Brighton,Leicester,,,,,
Chelsea,Ipswich,,,,,
Liverpool,West Ham,,,,,
Man City,Crystal Palace,,,,,
Newcastle,Man Utd,,,,,
Nott'm Forest,Everton,,,,,
Southampton,Aston Villa,,,,,
Wolves,Spurs,,,,,
Aston Villa,Newcastle,,,,,
Brentford,Brighton,,,,,
Crystal Palace,Bournemouth,,,,,
Everton,Man City,,,,,
Fulham,Chelsea,,,,,
Ipswich,Arsenal,,,,,
Leicester,Liverpool,,,,,
Man Utd,Wolves,,,,,
Spurs,Nott'm Forest,,,,,
West Ham,Southampton,,,,,
Arsenal,Crystal Palace,,,,,
Bournemouth,Man Utd,,,,,
Brighton,West Ham,,,,,
Chelsea,Everton,,,,,
Liverpool,Spurs,,,,,
Man City,Aston Villa,,,,,
Newcastle,Ipswich,,,,,
Nott'm Forest,Brentford,,,,,
Southampton,Fulham,,,,,
Wolves,Leicester,,,,,
Arsenal,Bournemouth,,,,,
Aston Villa,Fulham,,,,,
Brentford,Man Utd,,,,,
Brighton,Newcastle,,,,,
Chelsea,Liverpool,,,,,
Crystal Palace,Nott'm Forest,,,,,
Everton,Ipswich,,,,,
Leicester,Southampton,,,,,
Man City,Wolves,,,,,
West Ham,Spurs,,,,,
Bournemouth,Aston Villa,,,,,
Fulham,Everton,,,,,
Ipswich,Brentford,,,,,
Liverpool,Arsenal,,,,,
Man Utd,West Ham,,,,,
Newcastle,Chelsea,,,,,
Nott'm Forest,Leicester,,,,,
Southampton,Man City,,,,,
Spurs,Crystal Palace,,,,,
Wolves,Brighton,,,,,
Arsenal,Newcastle,,,,,
Aston Villa,Spurs,,,,,
Brentford,Fulham,,,,,
Brighton,Liverpool,,,,,
Chelsea,Man Utd,,,,,
Crystal Palace,Wolves,,,,,
Everton,Southampton,,,,,
Leicester,Ipswich,,,,,
Man City,Bournemouth,,,,,
West Ham,Nott'm Forest,,,,,
Bournemouth,Leicester,,,,,
Fulham,Man City,,,,,
Ipswich,West Ham,,,,,
Liverpool,Crystal Palace,,,,,
Man Utd,Aston Villa,,,,,
Newcastle,Everton,,,,,
Nott'm Forest,Chelsea,,,,,
Southampton,Arsenal,,,,,
Spurs,Brighton,,,,,
Wolves,Brentford,,,,,
Leicester,Chelsea,,,,,
Arsenal,Nott'm Forest,,,,,
Aston Villa,Crystal Palace,,,,,
Bournemouth,Brighton,,,,,
Everton,Brentford,,,,,
Fulham,Wolves,,,,,
Man City,Spurs,,,,,
Southampton,Liverpool,,,,,
Ipswich,Man Utd,,,,,
Newcastle,West Ham,,,,,
